#Distance(inches), A1 4-sigma width OFF (um), A2 4-sigma width OFF(um), A1 4-sigma width ON(um), A2 4-sigma width ON(um)
0,3830,3905,4870,5455
1,3790,3870,4850,5390
2,3815,3900,4812,5412
3,3860,3870,4810,5440
4,3814,3901,4885,5492
5,3850,3882,4924,5412
6,3893,3915,4980,5551
7,3950,3965,5051,5675
8,3935,3930,5026,5582
9,4035,4070,5076,5615
10,4135,4076,5040,5633
11,4070,4075,5115,5665
12,3930,3981,5100,5600
13,4020,4080,5220,5642
14,4150,4160,5260,5720
15,4170,4115,5315,5730
16,4218,4230,5280,5816
17,4335,4110,5280,5790
18,4380,4133, , 
19,4440,4190, , 
20,4464,4240, , 
21,4500,4258, , 
